{'loss': 0.6925, 'grad_norm': 4.35638427734375, 'learning_rate': 9.9e-07, 'epoch': 0.02}
{'loss': 0.2327, 'grad_norm': 0.036115724593400955, 'learning_rate': 4.2762068965517245e-06, 'epoch': 0.52}
{'loss': 0.3538, 'grad_norm': 160.9881591796875, 'learning_rate': 4.241724137931035e-06, 'epoch': 0.54}
{'loss': 0.2655, 'grad_norm': 57.46656036376953, 'learning_rate': 4.207241379310345e-06, 'epoch': 0.56}
{'loss': 0.312, 'grad_norm': 0.15140612423419952, 'learning_rate': 4.172758620689655e-06, 'epoch': 0.58}
{'loss': 0.2881, 'grad_norm': 0.22506970167160034, 'learning_rate': 4.138275862068966e-06, 'epoch': 0.6}
{'loss': 0.3703, 'grad_norm': 72.85090637207031, 'learning_rate': 4.103793103448277e-06, 'epoch': 0.62}
{'loss': 0.3097, 'grad_norm': 305.1478271484375, 'learning_rate': 4.069310344827586e-06, 'epoch': 0.64}
{'loss': 0.3155, 'grad_norm': 0.07719535380601883, 'learning_rate': 4.034827586206897e-06, 'epoch': 0.66}
{'loss': 0.3423, 'grad_norm': 134.71788024902344, 'learning_rate': 4.0003448275862075e-06, 'epoch': 0.68}
{'loss': 0.2246, 'grad_norm': 85.5928955078125, 'learning_rate': 3.965862068965517e-06, 'epoch': 0.7}
{'loss': 0.3256, 'grad_norm': 0.7331231832504272, 'learning_rate': 3.931379310344828e-06, 'epoch': 0.72}
{'loss': 0.2829, 'grad_norm': 0.03660279139876366, 'learning_rate': 3.896896551724138e-06, 'epoch': 0.74}
{'loss': 0.3932, 'grad_norm': 0.18094086647033691, 'learning_rate': 3.862413793103448e-06, 'epoch': 0.76}
{'loss': 0.3248, 'grad_norm': 0.05053089186549187, 'learning_rate': 3.827931034482759e-06, 'epoch': 0.78}
{'loss': 0.3255, 'grad_norm': 0.4733375906944275, 'learning_rate': 3.7934482758620693e-06, 'epoch': 0.8}
{'loss': 0.3176, 'grad_norm': 66.99555206298828, 'learning_rate': 3.7589655172413795e-06, 'epoch': 0.82}
{'loss': 0.3635, 'grad_norm': 0.3630943298339844, 'learning_rate': 3.72448275862069e-06, 'epoch': 0.84}
{'loss': 0.3098, 'grad_norm': 0.09398800879716873, 'learning_rate': 3.6900000000000002e-06, 'epoch': 0.86}
{'loss': 0.3115, 'grad_norm': 0.055150777101516724, 'learning_rate': 3.6555172413793104e-06, 'epoch': 0.88}
{'loss': 0.3282, 'grad_norm': 0.5969273447990417, 'learning_rate': 3.621034482758621e-06, 'epoch': 0.9}
{'loss': 0.2857, 'grad_norm': 52.71260070800781, 'learning_rate': 3.586551724137931e-06, 'epoch': 0.92}
{'loss': 0.336, 'grad_norm': 0.12011738866567612, 'learning_rate': 3.5520689655172417e-06, 'epoch': 0.94}
{'loss': 0.317, 'grad_norm': 0.7044718265533447, 'learning_rate': 3.5175862068965523e-06, 'epoch': 0.96}
{'loss': 0.3166, 'grad_norm': 1.2258177995681763, 'learning_rate': 3.4831034482758625e-06, 'epoch': 0.98}
{'loss': 0.3299, 'grad_norm': 0.05835510045289993, 'learning_rate': 3.4486206896551727e-06, 'epoch': 1.0}
{'eval_loss': 0.2780284583568573, 'eval_accuracy': 0.9428, 'eval_runtime': 71.669, 'eval_samples_per_second': 69.765, 'eval_steps_per_second': 8.721, 'epoch': 1.0}
{'loss': 0.1771, 'grad_norm': 0.03372098505496979, 'learning_rate': 3.414137931034483e-06, 'epoch': 1.02}
{'loss': 0.2102, 'grad_norm': 0.21756844222545624, 'learning_rate': 3.3796551724137934e-06, 'epoch': 1.04}
{'loss': 0.2125, 'grad_norm': 0.036168426275253296, 'learning_rate': 3.3451724137931036e-06, 'epoch': 1.06}
{'loss': 0.2586, 'grad_norm': 0.1310243308544159, 'learning_rate': 3.3106896551724137e-06, 'epoch': 1.08}
{'loss': 0.1828, 'grad_norm': 0.5567435026168823, 'learning_rate': 3.2762068965517248e-06, 'epoch': 1.1}
{'loss': 0.1902, 'grad_norm': 96.45377349853516, 'learning_rate': 3.241724137931035e-06, 'epoch': 1.12}
{'loss': 0.2986, 'grad_norm': 2.113503932952881, 'learning_rate': 3.207241379310345e-06, 'epoch': 1.14}
{'loss': 0.2454, 'grad_norm': 0.06472256779670715, 'learning_rate': 3.1727586206896552e-06, 'epoch': 1.16}
{'loss': 0.3303, 'grad_norm': 0.25368961691856384, 'learning_rate': 3.138275862068966e-06, 'epoch': 1.18}
{'loss': 0.2084, 'grad_norm': 0.014393897727131844, 'learning_rate': 3.103793103448276e-06, 'epoch': 1.2}
{'loss': 0.1873, 'grad_norm': 0.03278312459588051, 'learning_rate': 3.069310344827586e-06, 'epoch': 1.22}
{'loss': 0.1875, 'grad_norm': 0.04401969537138939, 'learning_rate': 3.0348275862068967e-06, 'epoch': 1.24}
{'loss': 0.3274, 'grad_norm': 19.168087005615234, 'learning_rate': 3.0003448275862073e-06, 'epoch': 1.26}
{'loss': 0.2468, 'grad_norm': 0.07589177787303925, 'learning_rate': 2.9658620689655175e-06, 'epoch': 1.28}
{'loss': 0.1405, 'grad_norm': 66.1189956665039, 'learning_rate': 2.931379310344828e-06, 'epoch': 1.3}
{'loss': 0.2513, 'grad_norm': 0.029491804540157318, 'learning_rate': 2.8968965517241382e-06, 'epoch': 1.32}
{'loss': 0.2845, 'grad_norm': 192.5332489013672, 'learning_rate': 2.8624137931034484e-06, 'epoch': 1.34}
{'loss': 0.1863, 'grad_norm': 0.059233810752630234, 'learning_rate': 2.8279310344827586e-06, 'epoch': 1.36}
{'loss': 0.1913, 'grad_norm': 0.06670204550027847, 'learning_rate': 2.793448275862069e-06, 'epoch': 1.38}
{'loss': 0.1352, 'grad_norm': 0.014517862349748611, 'learning_rate': 2.7589655172413793e-06, 'epoch': 1.4}
{'loss': 0.3731, 'grad_norm': 0.2225409895181656, 'learning_rate': 2.72448275862069e-06, 'epoch': 1.42}
{'loss': 0.2043, 'grad_norm': 20.5172061920166, 'learning_rate': 2.6900000000000005e-06, 'epoch': 1.44}
{'loss': 0.1747, 'grad_norm': 0.021138178184628487, 'learning_rate': 2.6555172413793107e-06, 'epoch': 1.46}
{'loss': 0.1619, 'grad_norm': 0.035219546407461166, 'learning_rate': 2.621034482758621e-06, 'epoch': 1.48}
{'loss': 0.287, 'grad_norm': 68.0418701171875, 'learning_rate': 2.5865517241379314e-06, 'epoch': 1.5}
{'loss': 0.3166, 'grad_norm': 0.2469567209482193, 'learning_rate': 2.5520689655172416e-06, 'epoch': 1.52}
{'loss': 0.2517, 'grad_norm': 0.0861196219921112, 'learning_rate': 2.5175862068965517e-06, 'epoch': 1.54}
{'loss': 0.2047, 'grad_norm': 0.013461435213685036, 'learning_rate': 2.4831034482758623e-06, 'epoch': 1.56}
{'loss': 0.2401, 'grad_norm': 0.07991401851177216, 'learning_rate': 2.4486206896551725e-06, 'epoch': 1.58}
{'loss': 0.2042, 'grad_norm': 0.03579413518309593, 'learning_rate': 2.4141379310344827e-06, 'epoch': 1.6}
{'loss': 0.2365, 'grad_norm': 119.16975402832031, 'learning_rate': 2.3796551724137932e-06, 'epoch': 1.62}
{'loss': 0.2105, 'grad_norm': 0.03628348186612129, 'learning_rate': 2.345172413793104e-06, 'epoch': 1.64}
{'loss': 0.3233, 'grad_norm': 0.016047289595007896, 'learning_rate': 2.310689655172414e-06, 'epoch': 1.66}
{'loss': 0.2562, 'grad_norm': 0.029550302773714066, 'learning_rate': 2.276206896551724e-06, 'epoch': 1.68}
{'loss': 0.2418, 'grad_norm': 38.01862335205078, 'learning_rate': 2.2417241379310348e-06, 'epoch': 1.7}
{'loss': 0.2452, 'grad_norm': 0.03919781744480133, 'learning_rate': 2.207241379310345e-06, 'epoch': 1.72}
{'loss': 0.1983, 'grad_norm': 0.14890223741531372, 'learning_rate': 2.1727586206896555e-06, 'epoch': 1.74}
{'loss': 0.2878, 'grad_norm': 0.052632831037044525, 'learning_rate': 2.1382758620689657e-06, 'epoch': 1.76}
{'loss': 0.1975, 'grad_norm': 0.6768680214881897, 'learning_rate': 2.1037931034482763e-06, 'epoch': 1.78}
{'loss': 0.238, 'grad_norm': 0.08689093589782715, 'learning_rate': 2.0693103448275864e-06, 'epoch': 1.8}
{'loss': 0.1154, 'grad_norm': 0.05274581536650658, 'learning_rate': 2.0348275862068966e-06, 'epoch': 1.82}
{'loss': 0.1194, 'grad_norm': 0.03453963249921799, 'learning_rate': 2.000344827586207e-06, 'epoch': 1.84}
{'loss': 0.2827, 'grad_norm': 0.10036314278841019, 'learning_rate': 1.9658620689655173e-06, 'epoch': 1.86}
{'loss': 0.1786, 'grad_norm': 0.011654425412416458, 'learning_rate': 1.931379310344828e-06, 'epoch': 1.88}
{'loss': 0.3108, 'grad_norm': 0.047268688678741455, 'learning_rate': 1.896896551724138e-06, 'epoch': 1.9}
{'loss': 0.278, 'grad_norm': 43.72265625, 'learning_rate': 1.8624137931034482e-06, 'epoch': 1.92}
{'loss': 0.2519, 'grad_norm': 28.37158203125, 'learning_rate': 1.8279310344827588e-06, 'epoch': 1.94}
{'loss': 0.2924, 'grad_norm': 81.6768569946289, 'learning_rate': 1.7934482758620692e-06, 'epoch': 1.96}
{'loss': 0.1142, 'grad_norm': 0.07444930821657181, 'learning_rate': 1.7589655172413794e-06, 'epoch': 1.98}
{'loss': 0.1654, 'grad_norm': 0.08319681882858276, 'learning_rate': 1.7244827586206897e-06, 'epoch': 2.0}
{'eval_loss': 0.3312540352344513, 'eval_accuracy': 0.9472, 'eval_runtime': 71.549, 'eval_samples_per_second': 69.882, 'eval_steps_per_second': 8.735, 'epoch': 2.0}
{'loss': 0.1877, 'grad_norm': 0.032161176204681396, 'learning_rate': 1.6900000000000003e-06, 'epoch': 2.02}
{'loss': 0.1948, 'grad_norm': 0.01771455630660057, 'learning_rate': 1.6555172413793105e-06, 'epoch': 2.04}
{'loss': 0.1233, 'grad_norm': 0.06437623500823975, 'learning_rate': 1.6210344827586209e-06, 'epoch': 2.06}
{'loss': 0.1484, 'grad_norm': 55.38840866088867, 'learning_rate': 1.586551724137931e-06, 'epoch': 2.08}
{'loss': 0.1632, 'grad_norm': 0.028524300083518028, 'learning_rate': 1.5520689655172416e-06, 'epoch': 2.1}
{'loss': 0.1448, 'grad_norm': 0.06310582160949707, 'learning_rate': 1.5175862068965518e-06, 'epoch': 2.12}
{'loss': 0.2316, 'grad_norm': 0.7740978002548218, 'learning_rate': 1.4831034482758622e-06, 'epoch': 2.14}
{'loss': 0.1117, 'grad_norm': 0.015546313486993313, 'learning_rate': 1.4486206896551725e-06, 'epoch': 2.16}
{'loss': 0.2083, 'grad_norm': 0.1737843155860901, 'learning_rate': 1.414137931034483e-06, 'epoch': 2.18}
{'loss': 0.191, 'grad_norm': 0.022928111255168915, 'learning_rate': 1.3796551724137933e-06, 'epoch': 2.2}
{'loss': 0.1791, 'grad_norm': 0.013970328494906425, 'learning_rate': 1.3451724137931035e-06, 'epoch': 2.22}
{'loss': 0.203, 'grad_norm': 0.018780000507831573, 'learning_rate': 1.3106896551724138e-06, 'epoch': 2.24}
{'loss': 0.0777, 'grad_norm': 0.02831156924366951, 'learning_rate': 1.2762068965517244e-06, 'epoch': 2.26}
{'loss': 0.1695, 'grad_norm': 0.030274907127022743, 'learning_rate': 1.2417241379310346e-06, 'epoch': 2.28}
{'loss': 0.2202, 'grad_norm': 32.24227523803711, 'learning_rate': 1.207241379310345e-06, 'epoch': 2.3}
{'loss': 0.1383, 'grad_norm': 0.03743160143494606, 'learning_rate': 1.1727586206896553e-06, 'epoch': 2.32}
{'loss': 0.2071, 'grad_norm': 0.02074507251381874, 'learning_rate': 1.1382758620689655e-06, 'epoch': 2.34}
{'loss': 0.1138, 'grad_norm': 0.012766323983669281, 'learning_rate': 1.103793103448276e-06, 'epoch': 2.36}
{'loss': 0.126, 'grad_norm': 0.21644745767116547, 'learning_rate': 1.0693103448275863e-06, 'epoch': 2.38}
{'loss': 0.1786, 'grad_norm': 0.03915102407336235, 'learning_rate': 1.0348275862068966e-06, 'epoch': 2.4}
{'loss': 0.0596, 'grad_norm': 0.05667325481772423, 'learning_rate': 1.000344827586207e-06, 'epoch': 2.42}
{'loss': 0.1572, 'grad_norm': 1575.892578125, 'learning_rate': 9.658620689655174e-07, 'epoch': 2.44}
{'loss': 0.2083, 'grad_norm': 0.025006543844938278, 'learning_rate': 9.313793103448276e-07, 'epoch': 2.46}
{'loss': 0.1257, 'grad_norm': 0.14644663035869598, 'learning_rate': 8.96896551724138e-07, 'epoch': 2.48}
{'loss': 0.168, 'grad_norm': 0.009876975789666176, 'learning_rate': 8.624137931034483e-07, 'epoch': 2.5}
{'loss': 0.0802, 'grad_norm': 0.008979295380413532, 'learning_rate': 8.279310344827588e-07, 'epoch': 2.52}
{'loss': 0.2763, 'grad_norm': 0.06709770858287811, 'learning_rate': 7.93448275862069e-07, 'epoch': 2.54}
{'loss': 0.1162, 'grad_norm': 0.025995833799242973, 'learning_rate': 7.589655172413794e-07, 'epoch': 2.56}
{'loss': 0.2073, 'grad_norm': 0.22076615691184998, 'learning_rate': 7.244827586206897e-07, 'epoch': 2.58}
{'loss': 0.1013, 'grad_norm': 0.055614862591028214, 'learning_rate': 6.900000000000001e-07, 'epoch': 2.6}
{'loss': 0.1738, 'grad_norm': 0.021597834303975105, 'learning_rate': 6.555172413793104e-07, 'epoch': 2.62}
{'loss': 0.1734, 'grad_norm': 27.177154541015625, 'learning_rate': 6.210344827586207e-07, 'epoch': 2.64}
{'loss': 0.1721, 'grad_norm': 0.6604363322257996, 'learning_rate': 5.865517241379311e-07, 'epoch': 2.66}
{'loss': 0.1556, 'grad_norm': 157.5970001220703, 'learning_rate': 5.520689655172415e-07, 'epoch': 2.68}
{'loss': 0.1144, 'grad_norm': 0.04076595604419708, 'learning_rate': 5.175862068965517e-07, 'epoch': 2.7}
{'loss': 0.148, 'grad_norm': 0.11093011498451233, 'learning_rate': 4.831034482758621e-07, 'epoch': 2.72}
{'loss': 0.1096, 'grad_norm': 0.029138240963220596, 'learning_rate': 4.4862068965517243e-07, 'epoch': 2.74}
{'loss': 0.0739, 'grad_norm': 0.013731659390032291, 'learning_rate': 4.141379310344828e-07, 'epoch': 2.76}
{'loss': 0.1324, 'grad_norm': 0.04409060999751091, 'learning_rate': 3.7965517241379313e-07, 'epoch': 2.78}
{'loss': 0.245, 'grad_norm': 39.497276306152344, 'learning_rate': 3.4517241379310345e-07, 'epoch': 2.8}
{'loss': 0.1461, 'grad_norm': 0.019939560443162918, 'learning_rate': 3.106896551724138e-07, 'epoch': 2.82}
{'loss': 0.2225, 'grad_norm': 0.006843809969723225, 'learning_rate': 2.7620689655172415e-07, 'epoch': 2.84}
{'loss': 0.1494, 'grad_norm': 0.045318908989429474, 'learning_rate': 2.417241379310345e-07, 'epoch': 2.86}
{'loss': 0.058, 'grad_norm': 0.045444220304489136, 'learning_rate': 2.0724137931034485e-07, 'epoch': 2.88}
{'loss': 0.1291, 'grad_norm': 0.06432832032442093, 'learning_rate': 1.727586206896552e-07, 'epoch': 2.9}
{'loss': 0.1621, 'grad_norm': 0.010615798644721508, 'learning_rate': 1.3827586206896552e-07, 'epoch': 2.92}
{'loss': 0.1333, 'grad_norm': 0.015076474286615849, 'learning_rate': 1.0379310344827587e-07, 'epoch': 2.94}
{'loss': 0.2358, 'grad_norm': 0.05405433848500252, 'learning_rate': 6.931034482758622e-08, 'epoch': 2.96}
{'loss': 0.1121, 'grad_norm': 0.012361404486000538, 'learning_rate': 3.482758620689656e-08, 'epoch': 2.98}
{'loss': 0.1687, 'grad_norm': 0.02170618623495102, 'learning_rate': 3.448275862068966e-10, 'epoch': 3.0}
{'eval_loss': 0.33353909850120544, 'eval_accuracy': 0.947, 'eval_runtime': 71.6311, 'eval_samples_per_second': 69.802, 'eval_steps_per_second': 8.725, 'epoch': 3.0}
{'train_runtime': 3148.6938, 'train_samples_per_second': 19.056, 'train_steps_per_second': 4.764, 'train_loss': 0.24892493677139282, 'epoch': 3.0}
[1 0 0 ... 0 1 1]
[0m

[ERRORS]
2025-11-03 02:20:58,670: INFO: running D:\2025Autumn\Scientific Research Training\Task3\imdb_sentiment_analysis_torch\imdb_roberta_trainer.py

Map:   0%|          | 0/20000 [00:00<?, ? examples/s]
Map:   5%|▌         | 1000/20000 [00:00<00:02, 7449.81 examples/s]
Map:  10%|█         | 2000/20000 [00:00<00:02, 8153.06 examples/s]
Map:  15%|█▌        | 3000/20000 [00:00<00:01, 8517.64 examples/s]
Map:  20%|██        | 4000/20000 [00:00<00:01, 8169.95 examples/s]
Map:  25%|██▌       | 5000/20000 [00:00<00:01, 8191.85 examples/s]
Map:  30%|███       | 6000/20000 [00:00<00:01, 8199.21 examples/s]
Map:  35%|███▌      | 7000/20000 [00:00<00:01, 8058.45 examples/s]
Map:  40%|████      | 8000/20000 [00:00<00:01, 8257.65 examples/s]
Map:  45%|████▌     | 9000/20000 [00:01<00:01, 8335.40 examples/s]
Map:  50%|█████     | 10000/20000 [00:01<00:01, 8327.67 examples/s]
Map:  55%|█████▌    | 11000/20000 [00:01<00:01, 8171.46 examples/s]
Map:  60%|██████    | 12000/20000 [00:01<00:00, 8246.59 examples/s]
Map:  65%|██████▌   | 13000/20000 [00:01<00:00, 7903.09 examples/s]
Map:  70%|███████   | 14000/20000 [00:01<00:00, 7982.02 examples/s]
Map:  75%|███████▌  | 15000/20000 [00:01<00:00, 8113.89 examples/s]
Map:  80%|████████  | 16000/20000 [00:01<00:00, 8239.39 examples/s]
Map:  85%|████████▌ | 17000/20000 [00:02<00:00, 8098.36 examples/s]
Map:  90%|█████████ | 18000/20000 [00:02<00:00, 7996.84 examples/s]
Map:  95%|█████████▌| 19000/20000 [00:02<00:00, 8107.60 examples/s]
Map: 100%|██████████| 20000/20000 [00:02<00:00, 8074.45 examples/s]
Map: 100%|██████████| 20000/20000 [00:02<00:00, 8108.76 examples/s]

Map:   0%|          | 0/5000 [00:00<?, ? examples/s]
Map:  20%|██        | 1000/5000 [00:00<00:00, 8041.83 examples/s]
Map:  40%|████      | 2000/5000 [00:00<00:00, 8209.00 examples/s]
Map:  60%|██████    | 3000/5000 [00:00<00:00, 7995.23 examples/s]
Map:  80%|████████  | 4000/5000 [00:00<00:00, 7616.22 examples/s]
Map: 100%|██████████| 5000/5000 [00:00<00:00, 6100.23 examples/s]
Map: 100%|██████████| 5000/5000 [00:00<00:00, 6753.83 examples/s]

Map:   0%|          | 0/25000 [00:00<?, ? examples/s]
Map:   4%|▍         | 1000/25000 [00:00<00:02, 8225.80 examples/s]
Map:   8%|▊         | 2000/25000 [00:00<00:02, 8421.23 examples/s]
Map:  12%|█▏        | 3000/25000 [00:00<00:02, 8357.50 examples/s]
Map:  16%|█▌        | 4000/25000 [00:00<00:02, 8216.32 examples/s]
Map:  20%|██        | 5000/25000 [00:00<00:02, 8276.08 examples/s]
Map:  24%|██▍       | 6000/25000 [00:00<00:02, 8218.95 examples/s]
Map:  28%|██▊       | 7000/25000 [00:00<00:02, 8137.61 examples/s]
Map:  32%|███▏      | 8000/25000 [00:00<00:02, 8213.02 examples/s]
Map:  36%|███▌      | 9000/25000 [00:01<00:01, 8072.97 examples/s]
Map:  40%|████      | 10000/25000 [00:01<00:01, 8114.19 examples/s]
Map:  44%|████▍     | 11000/25000 [00:01<00:01, 7766.30 examples/s]
Map:  48%|████▊     | 12000/25000 [00:01<00:01, 7761.83 examples/s]
Map:  52%|█████▏    | 13000/25000 [00:01<00:01, 7557.35 examples/s]
Map:  56%|█████▌    | 14000/25000 [00:01<00:01, 7712.43 examples/s]
Map:  60%|██████    | 15000/25000 [00:01<00:01, 7764.11 examples/s]
Map:  64%|██████▍   | 16000/25000 [00:02<00:01, 7593.68 examples/s]
Map:  68%|██████▊   | 17000/25000 [00:02<00:01, 7548.07 examples/s]
Map:  72%|███████▏  | 18000/25000 [00:02<00:00, 7559.67 examples/s]
Map:  76%|███████▌  | 19000/25000 [00:02<00:00, 6792.42 examples/s]
Map:  80%|████████  | 20000/25000 [00:02<00:00, 6614.09 examples/s]
Map:  84%|████████▍ | 21000/25000 [00:02<00:00, 6060.75 examples/s]
Map:  88%|████████▊ | 22000/25000 [00:02<00:00, 6400.61 examples/s]
Map:  92%|█████████▏| 23000/25000 [00:03<00:00, 6828.75 examples/s]
Map:  96%|█████████▌| 24000/25000 [00:03<00:00, 7033.34 examples/s]
Map: 100%|██████████| 25000/25000 [00:03<00:00, 7081.59 examples/s]
Map: 100%|██████████| 25000/25000 [00:03<00:00, 7430.62 examples/s]
Some weights of RobertaForSequenceClassification were not initialized from the model checkpoint at roberta-base and are newly initialized: ['classifier.dense.bias', 'classifier.dense.weight', 'classifier.out_proj.bias', 'classifier.out_proj.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
D:\2025Autumn\Scientific Research Training\Task3\imdb_sentiment_analysis_torch\imdb_roberta_trainer.py:71: FutureWarning:

`tokenizer` is deprecated and will be removed in version 5.0.0 for `Trainer.__init__`. Use `processing_class` instead.


  0%|          | 0/15000 [00:00<?, ?it/s]
  0%|          | 1/15000 [00:00<3:11:26,  1.31it/s]
  0%|          | 2/15000 [00:01<2:29:00,  1.68it/s]
  0%|          | 3/15000 [00:01<1:49:27,  2.28it/s]
  0%|          | 4/15000 [00:01<1:29:33,  2.79it/s]
  0%|          | 5/15000 [00:02<1:41:20,  2.47it/s]
  0%|          | 6/15000 [00:02<1:44:05,  2.40it/s]
  0%|          | 7/15000 [00:02<1:28:57,  2.81it/s]
  0%|          | 8/15000 [00:03<1:31:45,  2.72it/s]
  0%|          | 9/15000 [00:03<1:26:31,  2.89it/s]
  0%|          | 10/15000 [00:03<1:22:26,  3.03it/s]
  0%|          | 11/15000 [00:04<1:21:43,  3.06it/s]
  0%|          | 12/15000 [00:04<1:17:27,  3.22it/s]
  0%|          | 13/15000 [00:04<1:13:18,  3.41it/s]
  0%|          | 14/15000 [00:04<1:03:33,  3.93it/s]
  0%|          | 15/15000 [00:05<1:05:33,  3.81it/s]
  0%|          | 16/15000 [00:05<1:00:20,  4.14it/s]
  0%|          | 17/15000 [00:05<1:01:57,  4.03it/s]
  0%|          | 18/15000 [00:05<1:02:56,  3.97it/s]
  0%|          | 19/15000 [00:06<1:02:09,  4.02it/s]
  0%|          | 20/15000 [00:06<58:32,  4.26it/s]  
  0%|          | 21/15000 [00:06<58:23,  4.28it/s]
  0%|          | 22/15000 [00:06<58:11,  4.29it/s]
  0%|          | 23/15000 [00:06<51:31,  4.84it/s]
  0%|          | 24/15000 [00:07<50:39,  4.93it/s]
  0%|          | 25/15000 [00:07<46:46,  5.34it/s]
  0%|          | 26/15000 [00:07<49:54,  5.00it/s]
  0%|          | 27/15000 [00:07<52:17,  4.77it/s]
  0%|          | 28/15000 [00:07<53:52,  4.63it/s]
  0%|          | 29/15000 [00:08<55:06,  4.53it/s]
  0%|          | 30/15000 [00:08<53:21,  4.68it/s]
  0%|          | 31/15000 [00:08<49:18,  5.06it/s]
  0%|          | 32/15000 [00:08<42:40,  5.85it/s]
  0%|          | 33/15000 [00:08<41:51,  5.96it/s]
  0%|          | 34/15000 [00:09<46:11,  5.40it/s]
  0%|          | 35/15000 [00:09<47:25,  5.26it/s]
  0%|          | 36/15000 [00:09<41:20,  6.03it/s]
  0%|          | 37/15000 [00:09<37:59,  6.57it/s]
  0%|          | 38/15000 [00:09<36:45,  6.78it/s]
  0%|          | 39/15000 [00:09<43:04,  5.79it/s]
  0%|          | 40/15000 [00:10<41:03,  6.07it/s]
  0%|          | 41/15000 [00:10<42:51,  5.82it/s]
  0%|          | 42/15000 [00:10<45:01,  5.54it/s]
  0%|          | 43/15000 [00:10<42:16,  5.90it/s]
  0%|          | 44/15000 [00:10<46:54,  5.31it/s]
  0%|          | 45/15000 [00:10<49:15,  5.06it/s]
  0%|          | 46/15000 [00:11<51:51,  4.81it/s]
  0%|          | 47/15000 [00:11<53:36,  4.65it/s]
  0%|          | 48/15000 [00:11<52:44,  4.72it/s]
  0%|          | 49/15000 [00:11<49:11,  5.06it/s]
  0%|          | 50/15000 [00:12<49:29,  5.03it/s]
  0%|          | 51/15000 [00:12<51:55,  4.80it/s]
  0%|          | 52/15000 [00:12<46:43,  5.33it/s]
  0%|          | 53/15000 [00:12<49:15,  5.06it/s]
  0%|          | 54/15000 [00:12<51:46,  4.81it/s]
  0%|          | 55/15000 [00:13<53:33,  4.65it/s]
  0%|          | 56/15000 [00:13<50:11,  4.96it/s]
  0%|          | 57/15000 [00:13<51:38,  4.82it/s]
  0%|          | 58/15000 [00:13<53:28,  4.66it/s]
  0%|          | 59/15000 [00:13<54:47,  4.54it/s]
  0%|          | 60/15000 [00:14<55:36,  4.48it/s]
