id,sentiment,response_err_cnt
"7696_10",1,222
"9355_10",-1,222
"782_9",1,222
"9882_10",1,222
"10642_10",1,222
"7410_2",-1,222
"9591_4",-1,222
"11902_3",0,222
"3495_7",1,222
"6733_1",0,222
"4552_1",0,222
"6722_1",0,222
"188_10",1,222
"5099_10",-1,222
"10313_1",0,222
"6756_9",1,222
"6622_2",0,222
"4807_10",-1,222
"7173_3",0,222
"11321_8",1,222
"7909_9",1,222
"8012_7",1,222
"8615_4",-1,222
"8117_10",-1,222
"1892_10",1,222
"4617_1",0,222
"1893_8",1,222
"5435_1",-1,222
"162_3",-1,222
"6516_10",1,222
"11588_7",0,222
"2006_1",-1,222
"1594_4",1,222
"1472_1",0,222
"3647_1",0,222
"174_7",-1,222
"5539_7",-1,222
"3384_10",1,222
"3811_4",-1,222
"4079_8",-1,222
"1179_7",1,222
"3069_9",-1,222
"3769_8",1,222
"9247_10",-1,222
"10434_1",-1,222
"1147_10",1,222
"5344_7",1,222
"8073_10",1,222
"7833_3",0,222
"8370_1",-1,222
"9007_8",0,222
"6624_7",-1,222
"6683_3",0,222
"12275_7",1,222
"11927_8",1,222
"1560_10",1,222
"1325_9",-1,222
"3548_8",-1,222
"607_1",-1,222
"6702_7",1,222
"5702_3",-1,222
"11345_8",1,222
"3428_4",-1,222
"7209_9",1,222
"8425_8",1,222
"3087_1",0,222
"1119_8",-1,222
"5715_3",-1,222
"8645_1",0,222
"2149_3",-1,222
"10403_10",-1,222
"5628_1",-1,222
"5570_10",-1,222
"1613_3",0,222
"1454_4",0,222
"5094_3",-1,222
"7982_1",0,222
"6894_2",0,222
"6554_1",-1,222
"4721_3",0,222
"6904_4",-1,222
"893_8",1,222
"4605_4",-1,222
"11516_7",1,222
"11718_7",1,222
"5956_1",0,222
"7455_9",1,222
"6396_4",1,222
"1223_8",-1,222
"8556_1",-1,222
"6108_8",-1,222
"11690_1",0,222
"3778_9",-1,222
"3627_4",-1,222
"8256_4",-1,222
"533_1",0,222
"5235_4",0,222
"621_2",0,222
"5365_1",-1,222
"8180_3",0,222
"7396_7",1,222
"9776_10",1,222
"8175_10",-1,222
"3128_1",0,222
"4606_1",0,222
"6158_2",-1,222
"3281_10",-1,222
"4723_4",0,222
"11994_3",-1,222
"7701_1",-1,222
"103_3",0,222
"8908_10",-1,222
"8876_1",-1,222
"7519_9",-1,222
"12456_8",1,222
"9514_8",-1,222
"8680_8",1,222
"12402_10",1,222
"362_2",0,222
"9825_7",1,222
"2913_3",-1,222
"7164_8",1,222
"11177_7",1,222
"5707_10",1,222
"8103_10",1,222
"6289_1",0,222
"11754_1",0,222
"11640_10",1,222
"9933_7",0,222
"185_10",1,222
"242_10",1,222
"9369_8",-1,222
"7453_10",1,222
"7514_7",-1,222
"10860_2",-1,222
"8663_8",-1,222
"9108_1",-1,222
"7941_1",0,222
"10116_1",-1,222
"9841_4",-1,222
"4512_9",-1,222
"4853_2",0,222
"2664_4",-1,222
"9966_10",-1,222
"5167_2",-1,222
"3894_2",0,222
"3929_8",-1,222
"7165_10",1,222
"5451_8",1,222
"2947_4",0,222
"4611_10",-1,222
"5807_1",-1,222
"9464_8",1,222
"3124_10",1,222
"2705_4",-1,222
"12187_8",1,222
"12319_10",1,222
"9874_3",-1,222
"3406_4",-1,222
"2327_10",1,222
"605_10",-1,222
"8080_4",-1,222
"3074_10",1,222
"2499_3",0,222
"1013_1",0,222
"11535_1",-1,222
"4118_7",-1,222
"10492_8",-1,222
"2129_4",0,222
"9814_10",-1,222
"10671_9",1,222
"5980_10",1,222
"2755_2",0,222
"5461_2",-1,222
"11979_1",0,222
"8810_1",0,222
"852_7",1,222
"10961_4",0,222
"7436_4",-1,222
"11281_3",0,222
"4208_3",-1,222
"8213_10",1,222
"9851_2",1,222
"4713_7",-1,222
"9528_1",1,222
"3595_10",-1,222
"5785_3",-1,222
"10370_3",-1,222
"1980_3",1,222
"8800_4",-1,222
"4437_3",0,222
"28_3",-1,222
"12171_1",-1,222
"9359_3",-1,222
"3831_9",-1,222
"10962_7",0,222
"1500_9",1,222
"11470_10",-1,222
"11843_3",0,222
"11200_4",-1,222
"1067_1",-1,222
"3333_1",0,222
"4487_4",0,222
"6428_1",-1,222
"575_7",1,222
"10904_9",-1,222
"11821_2",0,222
"11605_1",-1,222
"1111_7",-1,222
"10295_1",-1,222
"1146_4",-1,222
"2405_9",1,222
"11081_10",1,222
"2201_10",-1,222
"4844_1",0,222
"11007_8",1,222
"6535_7",-1,222
"2653_4",-1,222
"8245_10",1,222
"9951_8",1,222
"6133_8",1,222
"10006_2",0,222
"7350_1",-1,222
"4509_9",1,222
"948_1",0,222
"3987_1",-1,222
"2947_10",-1,222
"6041_3",-1,222
"2946_1",0,222
"11967_4",-1,222
"1185_10",1,222
"10323_2",-1,222
"11706_2",-1,222
"3663_1",0,222
"5602_10",1,222
"4870_10",1,222
"1994_1",0,222
"10807_7",1,222
"6871_3",-1,222
"1175_2",-1,222
"10919_7",-1,222
"8127_10",-1,222
"12497_4",-1,222
"3274_1",-1,222
"2568_3",0,222
"840_2",0,222
"5626_10",1,222
"7561_10",1,222
"4600_3",0,222
"3324_9",0,222
"8899_7",1,222
"5592_8",-1,222
"12483_4",0,222
"7874_1",0,222
"5878_10",-1,222
"4303_9",1,222
"9421_1",-1,222
"10269_4",0,222
"10615_2",0,222
"2634_10",-1,222
"7522_1",-1,222
"9289_10",-1,222
"4636_10",1,222
"1241_7",1,222
"9458_9",1,222
"11690_10",1,222
"7176_4",-1,222
"6212_10",1,222
"6319_1",0,222
"5229_3",-1,222
"466_9",-1,222
"8693_2",-1,222
"2952_10",-1,222
"1128_1",0,222
"3975_10",1,222
"11365_10",-1,222
"2074_9",1,222
"9768_10",1,222
"4895_1",-1,222
"5726_10",-1,222
"9993_10",1,222
"11319_2",0,222
"10561_2",0,222
"5455_8",0,222
"10684_3",0,222
"3652_3",-1,222
"7825_1",0,222
"8806_1",-1,222
"275_10",1,222
"2246_1",-1,222
"11968_2",-1,222
"2528_1",0,222
"8491_8",-1,222
"13_1",0,222
"4530_8",-1,222
"5207_3",0,222
"11648_10",0,222
"8260_1",-1,222
"10730_10",-1,222
"10402_3",-1,222
"8077_1",0,222
"8598_8",-1,222
"2809_3",0,222
"12490_10",-1,222
"1447_9",1,222
"1605_3",-1,222
"2311_4",0,222
"3235_9",-1,222
"5725_10",1,222
"9025_10",-1,222
"6049_9",1,222
"4803_10",1,222
"191_9",-1,222
"420_3",0,222
"5238_2",-1,222
"1280_9",1,222
"9408_4",-1,222
"819_1",0,222
"1656_4",0,222
"9964_3",-1,222
"10404_4",-1,222
"12369_10",1,222
"6423_1",0,222
"9942_8",0,222
"1519_1",-1,222
"100_10",-1,222
"3216_10",-1,222
"3909_10",1,222
"5034_7",1,222
"14_8",-1,222
"5891_3",-1,222
"8496_10",1,222
"7429_1",-1,222
"9457_1",0,222
"9602_8",1,222
"4198_1",-1,222
"154_2",0,222
"5070_2",0,222
"4207_8",0,222
"7758_8",-1,222
"4439_9",-1,222
