id,sentiment,response_err_cnt
"8800_4",-1,183
"4437_3",0,183
"28_3",0,183
"12171_1",0,183
"9359_3",0,183
"3831_9",1,183
"10962_7",0,183
"1500_9",0,183
"11470_10",-1,183
"11843_3",0,183
"11200_4",-1,183
"1067_1",-1,183
"3333_1",0,183
"4487_4",1,183
"6428_1",0,183
"575_7",1,183
"10904_9",-1,183
"11821_2",-1,183
"11605_1",0,183
"1111_7",0,183
"10295_1",0,183
"1146_4",0,183
"2405_9",0,183
"11081_10",1,183
"2201_10",0,183
"4844_1",-1,183
"11007_8",1,183
"6535_7",-1,183
"2653_4",0,183
"8245_10",-1,183
"9951_8",1,183
"6133_8",0,183
"10006_2",-1,183
"7350_1",-1,183
"4509_9",-1,183
"948_1",0,183
"3987_1",-1,183
"2947_10",-1,183
"6041_3",0,183
"2946_1",-1,183
"11967_4",0,183
"1185_10",1,183
"10323_2",-1,183
"11706_2",0,183
"3663_1",-1,183
"5602_10",1,183
"4870_10",-1,183
"1994_1",0,183
"10807_7",0,183
"6871_3",0,183
"1175_2",-1,183
"10919_7",1,183
"8127_10",1,183
"12497_4",0,183
"3274_1",-1,183
"2568_3",0,183
"840_2",-1,183
"5626_10",1,183
"7561_10",-1,183
"4600_3",0,183
"3324_9",-1,183
"8899_7",-1,183
"5592_8",-1,183
"12483_4",0,183
"7874_1",0,183
"5878_10",-1,183
"4303_9",-1,183
"9421_1",0,183
"10269_4",-1,183
"10615_2",-1,183
"2634_10",0,183
"7522_1",-1,183
"9289_10",-1,183
"4636_10",1,183
"1241_7",-1,183
"9458_9",1,183
"11690_10",-1,183
"7176_4",-1,183
"6212_10",1,183
"6319_1",0,183
"5229_3",0,183
"466_9",0,183
"8693_2",0,183
"2952_10",1,183
"1128_1",0,183
"3975_10",-1,183
"11365_10",1,183
"2074_9",0,183
"9768_10",1,183
"4895_1",0,183
"5726_10",1,183
"9993_10",-1,183
"11319_2",-1,183
"10561_2",-1,183
"5455_8",0,183
"10684_3",0,183
"3652_3",-1,183
"7825_1",0,183
"8806_1",-1,183
"275_10",-1,183
"2246_1",-1,183
"11968_2",-1,183
"2528_1",-1,183
"8491_8",1,183
"13_1",1,183
"4530_8",0,183
"5207_3",-1,183
"11648_10",0,183
"8260_1",0,183
"10730_10",1,183
"10402_3",-1,183
"8077_1",0,183
"8598_8",0,183
"2809_3",-1,183
"12490_10",1,183
"1447_9",1,183
"1605_3",0,183
"2311_4",0,183
"3235_9",0,183
"5725_10",0,183
"9025_10",-1,183
"6049_9",-1,183
"4803_10",1,183
"191_9",1,183
"420_3",-1,183
"5238_2",0,183
"1280_9",1,183
"9408_4",0,183
"819_1",0,183
"1656_4",0,183
"9964_3",-1,183
"10404_4",0,183
"12369_10",1,183
"6423_1",0,183
"9942_8",0,183
"1519_1",0,183
"100_10",1,183
"3216_10",1,183
"3909_10",1,183
"5034_7",-1,183
"14_8",1,183
"5891_3",-1,183
"8496_10",1,183
"7429_1",0,183
"9457_1",0,183
"9602_8",1,183
"4198_1",-1,183
"154_2",-1,183
"5070_2",0,183
"4207_8",1,183
"7758_8",1,183
"4439_9",-1,183
